image_id,text,label
48539.png,"the woman you met who admits she's wrong, apologizes and changes her ways",0
64038.png,riding a horse backwards,0
53467.png,how you look when youre black and you celebrate the 4th of july,0
65297.png,when your little bomber brings home his first girlfriend,0
26891.png,today we're making vegetable soup! the most disturbing thing i've seen all day.,1
02846.png,the before image that not many people have seen,0
06752.png,"the amish reject modern society without strapping explosives children proof that you can be completely devoted to your religion wear beards, dress modestly and reject modern society without strapping explosives to children",1
09638.png,thanksgiving in china,1
40218.png,some habits are hard to stop,0
21386.png,the victoria's secret angels across america tour,0
17209.png,stop saying my religion is violent.. i will kill you in the or name of my religion,1
13874.png,ban the burka you must be fucking joking,0
13069.png,replaced by misunderstood girlfriend doesn't get jealous,0
48326.png,like i said. i'm an aries!,0
16827.png,partial arts,0
57908.png,wow. a muscle car am i supposed to be impressed by that?,0
94380.png,that look when you high as fuck on dem chromosomes,1
89136.png,this was fake news a lot of people don't realise it. please do your research,0
95402.png,to all the high school grads... congratulations on getting through the easiest part of life,0
74621.png,"""what kind of question is that? of course i fuck goat. next question...""",0
23047.png,i like to play outside,0
63097.png,like and share if you want loretta lynch investigated,0
13726.png,"democrats giving rights to those who have no right to be here, while taking rights from those who do",0
72450.png,the closest some of us will ever get to heaven,1
84759.png,what if tornadoes are actually created secretly by the government to destroy white trash people living in trailer homes,1
76180.png,how to get stoned without smoking weed,0
96185.png,"i hate the chinese, black, white, mexican people so who do i like? therein lies the problem",1
74259.png,i'll have 72 virgins when i die i'll have 72 virgins before i die,1
62398.png,this is me tryna look cool  after learning how to shoot from the movies,0
16904.png,than nasty i'd rather be deplorable,0
96345.png,"these atheist fools what do you mean ""evidence""? i gave you the bible verse """,1
35279.png,when you convert your dishwasher into a weed eater,1
85764.png,one small step for man one large step for mankind,0
23751.png,porn casting or terrorist recruitment? -yes i can blow,1
47265.png,andy's coming,1
02751.png,just admit it white america was better,0
48132.png,black friday deal buy one get one free toaster,1
95260.png,what's black and screams harvey price answering an iron,1
13074.png,when your dive instructor starts yelling in arabic,0
59167.png,"i'm not racist, but... racist memes are allowed, right?",0
19672.png,got any more dumb white people,1
96802.png,did you know 100% of the people who stay in their own countries don't get detained and separated from their children at the border,1
16348.png,the same enemy. we all have by the same people my people were exploited by the same people my land was stolen my people was stolen by the same people,1
94107.png,because even other planets need crime,1
72839.png,"im not always hooked on a feeling but when i am, im high on believing",0
54617.png,"girlfriends, let me tell you what i saw on amazon",0
54093.png,when you call the avengers and they send the one from wakanda,0
42850.png,keep it legal. keep it affordable !,0
74265.png,"it's taekwondo, not taekwondon't",0
63547.png,i'm down.. ...with that,1
